"Hour","Minute","Bee","Observed","Date","Colony","Scent","Site","Density","Flower_number","Day","Treatment","Trial","Setup","Array_time"
0,14,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",14
0,15,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",15
0,22,"GG.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",22
0,23,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",23
0,23,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",23
0,24,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",24
0,28,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",28
0,28,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",28
0,29,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",29
0,33,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",33
0,33,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",33
0,33,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",33
0,35,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",35
0,35,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",35
0,36,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",36
0,38,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",38
0,38,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",38
0,40,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",40
0,41,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",41
0,42,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",42
0,43,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",43
0,43,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",43
0,44,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",44
0,44,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",44
0,45,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",45
0,47,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",47
0,47,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",47
0,48,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",48
0,51,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",51
0,52,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",52
0,53,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",53
0,53,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",53
0,53,"OP.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",53
0,53,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",53
0,54,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",54
0,54,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",54
0,54,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",54
0,56,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",56
0,58,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",58
0,58,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",58
0,59,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",59
1,0,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",60
1,1,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",61
1,1,"OP.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",61
1,1,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",61
1,2,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",62
1,2,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",62
1,4,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",64
1,5,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",65
1,5,"GG.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",65
1,5,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",65
1,6,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",66
1,7,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",67
1,8,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",68
1,8,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",68
1,10,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",70
1,11,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",71
1,11,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",71
1,11,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",71
1,11,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",71
1,12,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",72
1,13,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",73
1,14,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",74
1,15,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",75
1,16,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",76
1,17,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",77
1,17,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",77
1,18,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",78
1,18,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",78
1,19,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",79
1,20,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",80
1,21,"OO.wing_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",81
1,21,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",81
1,21,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",81
1,24,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",84
1,24,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",84
1,24,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",84
1,25,"OP.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",85
1,26,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",86
1,27,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",87
1,27,"GG.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",87
1,27,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",87
1,27,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",87
1,29,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",89
1,30,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",90
1,30,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",90
1,32,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",92
1,33,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",93
1,33,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",93
1,34,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",94
1,34,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",94
1,34,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",94
1,35,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",95
1,35,"OO.wing_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",95
1,38,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",98
1,38,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",98
1,38,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",98
1,40,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",100
1,40,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",100
1,41,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",101
1,41,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",101
1,41,"GG.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",101
1,42,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",102
1,44,"OO.wing_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",104
1,45,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",105
1,45,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",105
1,45,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",105
1,45,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",105
1,46,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",106
1,46,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",106
1,48,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",108
1,49,"_P.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",109
1,51,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",111
1,52,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",112
1,52,"YP_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",112
1,53,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",113
1,54,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",114
1,54,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",114
1,55,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",115
1,57,"BR_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",117
1,57,"FR.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",117
1,58,"OP.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",118
1,59,"OO.wing_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",119
2,0,"_B.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
2,0,"BB.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
2,0,"BO.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
2,0,"OB_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
2,0,"OY.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
2,0,"_P.a_C",1,"6/15/22","C","Clove","South","High","Low","1","Changing","Trial 1","Density: High, Number of flowers: Low",120
0,11,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",11
0,14,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",14
0,18,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",18
0,19,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",19
0,22,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",22
0,26,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",26
0,27,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",27
0,28,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",28
0,30,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",30
0,31,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",31
0,35,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",35
0,35,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",35
0,36,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",36
0,38,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",38
0,39,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",39
0,40,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",40
0,40,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",40
0,43,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",43
0,43,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",43
0,45,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",45
0,46,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",46
0,46,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",46
0,50,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",50
0,50,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",50
0,51,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",51
0,51,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",51
0,53,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",53
0,54,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",54
0,56,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",56
0,56,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",56
0,56,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",56
0,58,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",58
0,59,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",59
0,59,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",59
1,1,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",61
1,1,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",61
1,3,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",63
1,3,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",63
1,4,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",64
1,4,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",64
1,6,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",66
1,8,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",68
1,8,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",68
1,9,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",69
1,9,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",69
1,10,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",70
1,11,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",71
1,13,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",73
1,14,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",74
1,15,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",75
1,16,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",76
1,17,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",77
1,18,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",78
1,18,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",78
1,20,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",80
1,20,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",80
1,23,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",83
1,23,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",83
1,24,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",84
1,26,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",86
1,26,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",86
1,27,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",87
1,29,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",89
1,29,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",89
1,29,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",89
1,31,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",91
1,32,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",92
1,32,"WB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",92
1,34,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",94
1,34,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",94
1,35,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",95
1,35,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",95
1,37,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",97
1,39,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",99
1,39,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",99
1,39,"WB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",99
1,40,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",100
1,41,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",101
1,43,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",103
1,44,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",104
1,46,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",106
1,46,"BW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",106
1,47,"GR.a_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",107
1,47,"GW_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",107
1,47,"WB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",107
1,48,"BF_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",108
1,50,"RB_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",110
1,52,"BP_C",1,"6/15/22","C","Peppermint","Northeast","High","Low","1","Constant","Trial 1","Density: High, Number of flowers: Low",112
